ZIP,City,State Code,State Name
91540,Puerto Nariño,91,Amazonas
91001,Leticia,91,Amazonas
5895,Zaragoza,5,Antioquia
5893,Yondó (Casabe),5,Antioquia
5890,Yolombó,5,Antioquia
5887,Yarumal,5,Antioquia
5885,Yalí,5,Antioquia
5873,Vigía del Fuerte,5,Antioquia
5861,Venecia,5,Antioquia
5858,Vegachí,5,Antioquia
5856,Valparaiso,5,Antioquia
5854,Valdivia,5,Antioquia
5847,Urrao,5,Antioquia
5842,Uramita,5,Antioquia
5837,Turbo,5,Antioquia
5819,Toledo,5,Antioquia
5809,Titiribí,5,Antioquia
5792,Tarso,5,Antioquia
5790,Tarazá,5,Antioquia
5789,Támesis,5,Antioquia
5761,Sopetrán,5,Antioquia
5756,Sonsón,5,Antioquia
5736,Segovia,5,Antioquia
5697,Santuario,5,Antioquia
5690,Santo Domingo,5,Antioquia
5686,Santa Rosa de Osos,5,Antioquia
5042,Santa Fé de Antioquia,5,Antioquia
5679,Santa Bárbara,5,Antioquia
5674,San Vicente,5,Antioquia
5670,San Roque,5,Antioquia
5667,San Rafael,5,Antioquia
5665,San Pedro de Urabá,5,Antioquia
5664,San Pedro,5,Antioquia
5660,San Luís,5,Antioquia
5659,San Juan de Urabá,5,Antioquia
5658,San José de Montaña,5,Antioquia
5656,San Jerónimo,5,Antioquia
5652,San Francisco,5,Antioquia
5649,San Carlos,5,Antioquia
5647,San Andrés de Cuerquía,5,Antioquia
5642,Salgar,5,Antioquia
5631,Sabaneta,5,Antioquia
5628,Sabanalarga,5,Antioquia
5615,Ríonegro,5,Antioquia
5607,Retiro,5,Antioquia
5604,Remedios,5,Antioquia
5591,Puerto Triunfo,5,Antioquia
5585,Puerto Nare,5,Antioquia
5579,Puerto Berrío,5,Antioquia
5576,Pueblorrico,5,Antioquia
5543,Peque,5,Antioquia
5541,Peñol,5,Antioquia
5501,Olaya,5,Antioquia
5490,Necoclí,5,Antioquia
5495,Nechí,5,Antioquia
5483,Nariño,5,Antioquia
5480,Mutatá,5,Antioquia
5475,Murindó,5,Antioquia
5467,Montebello,5,Antioquia
5001,Medellín,5,Antioquia
5440,Marinilla,5,Antioquia
5425,Maceo,5,Antioquia
5411,Liborina,5,Antioquia
5400,La Unión,5,Antioquia
5390,La Pintada,5,Antioquia
5380,La Estrella,5,Antioquia
5376,La Ceja,5,Antioquia
5368,Jericó,5,Antioquia
5364,Jardín,5,Antioquia
5361,Ituango,5,Antioquia
5360,Itagüí,5,Antioquia
5353,Hispania,5,Antioquia
5347,Heliconia,5,Antioquia
5321,Guatapé,5,Antioquia
5318,Guarne,5,Antioquia
5315,Guadalupe,5,Antioquia
5313,Granada,5,Antioquia
5310,Gómez Plata,5,Antioquia
5308,Girardota,5,Antioquia
5306,Giraldo,5,Antioquia
5284,Frontino,5,Antioquia
5282,Fredonia,5,Antioquia
5266,Envigado,5,Antioquia
5264,Entrerríos,5,Antioquia
5250,El Bagre,5,Antioquia
5240,Ebéjico,5,Antioquia
5237,Don Matías,5,Antioquia
5234,Dabeiba,5,Antioquia
5212,Copacabana,5,Antioquia
5209,Concordia,5,Antioquia
5206,Concepción,5,Antioquia
5197,Cocorná,5,Antioquia
5190,Cisneros,5,Antioquia
5172,Chigorodó,5,Antioquia
